"","trip_start_timestamp","pickup_census_tract","dropoff_census_tract","trip_seconds","trip_miles","fare","pickup_census_tract_centroid","dropoff_census_tract_centroid","year","month","weekday","day","time_decimal","type","dropoff_census_tract.1","pickup_centroid_latitude","pickup_centroid_longitude","pickup_census_tract.1","dropoff_centroid_latitude","dropoff_centroid_longitude"
"98","2013-02-11 11:30:00",17031839100,17031081401,780,1.43,9.25,17031839100,17031081401,2013,2,"Montag",11,11.5,NA,17031839100,41.880994471,-87.632746489,17031081401,41.89503345,-87.619710672
"99","2013-02-08 11:45:00",17031281900,17031839100,400,0.866666666666667,5.98333333333333,17031281900,17031839100,2013,2,"Freitag",8,11.75,NA,17031281900,41.879255084,-87.642648998,17031839100,41.880994471,-87.632746489
"100","2013-02-03 12:00:00",17031070101,17031839100,840,5.3,13.85,17031070101,17031839100,2013,2,"Sonntag",3,12,NA,17031070101,41.92926299,-87.635890954,17031839100,41.880994471,-87.632746489
"101","2013-02-26 12:15:00",17031081700,17031839100,300,6,5.25,17031081700,17031839100,2013,2,"Dienstag",26,12.25,NA,17031081700,41.892042136,-87.63186395,17031839100,41.880994471,-87.632746489
"102","2013-02-16 12:30:00",17031281900,17031081700,240,1.7,6.85,17031281900,17031081700,2013,2,"Samstag",16,12.5,NA,17031281900,41.879255084,-87.642648998,17031081700,41.892042136,-87.63186395
"103","2013-02-08 12:45:00",17031032100,17031081201,480,4.7,12.05,17031032100,17031081201,2013,2,"Freitag",8,12.75,NA,17031032100,41.958154876,-87.653021789,17031081201,41.899155613,-87.626210532
"104","2013-02-21 13:00:00",17031980100,17031841000,1080,9.2,21.05,17031980100,17031841000,2013,2,"Donnerstag",21,13,NA,17031980100,41.785998518,-87.750934289,17031841000,41.849246754,-87.624135298
"105","2013-02-19 13:15:00",17031281900,17031841900,240,0.6,4.84,17031281900,17031841900,2013,2,"Dienstag",19,13.25,NA,17031281900,41.879255084,-87.642648998,17031841900,41.867902418,-87.642958665
"106","2013-03-03 00:15:00",17031063100,17031070400,300,0.7,5.85,17031063100,17031070400,2013,3,"Sonntag",3,0.25,NA,17031063100,41.938232293,-87.646782081,17031070400,41.928967266,-87.656156831
"107","2013-03-10 00:30:00",17031833100,17031833000,60,4,3.85,17031833100,17031833000,2013,3,"Sonntag",10,0.5,NA,17031833100,41.879066994,-87.657005027,17031833000,41.88528132,-87.6572332
"108","2013-03-11 00:45:00",17031842200,17031080202,420,1.3,6.65,17031842200,17031080202,2013,3,"Montag",11,0.75,NA,17031842200,41.904935302,-87.649907226,17031080202,41.905857769,-87.630865027
"109","2013-03-16 01:00:00",17031281900,17031071800,780,5.3,13.85,17031281900,17031071800,2013,3,"Samstag",16,1,NA,17031281900,41.879255084,-87.642648998,17031071800,41.914585709,-87.645966207
"110","2013-03-10 01:15:00",17031071200,17031062000,540,1.8,7.45,17031071200,17031062000,2013,3,"Sonntag",10,1.25,NA,17031071200,41.921854911,-87.646210977,17031062000,41.942577185,-87.647078509
"111","2013-03-23 01:30:00",17031242200,17031320100,660,4,11.05,17031242200,17031320100,2013,3,"Samstag",23,1.5,NA,17031242200,41.899589796,-87.674719134,17031320100,41.884987192,-87.620992913
"112","2013-03-09 01:45:00",17031242200,17031062900,2460,6.16,15.65,17031242200,17031062900,2013,3,"Samstag",9,1.75,NA,17031242200,41.899589796,-87.674719134,17031062900,41.936237179,-87.656411531
"113","2013-03-30 02:00:00",17031081700,17031081000,240,1,5.45,17031081700,17031081000,2013,3,"Samstag",30,2,NA,17031081700,41.892042136,-87.63186395,17031081000,41.900265687,-87.63210922
"114","2013-03-08 02:15:00",17031832000,17031280100,960,5.6,14.45,17031832000,17031280100,2013,3,"Freitag",8,2.25,NA,17031832000,41.946294536,-87.654298084,17031280100,41.885300022,-87.642808466
"115","2013-03-02 02:30:00",17031081202,17031081500,180,0.5,4.45,17031081202,17031081500,2013,3,"Samstag",2,2.5,NA,17031081202,41.902788048,-87.62614559,17031081500,41.892507781,-87.626214906
"116","2013-03-23 02:45:00",17031081700,17031280100,510,1.275,7.75,17031081700,17031280100,2013,3,"Samstag",23,2.75,NA,17031081700,41.892042136,-87.63186395,17031280100,41.885300022,-87.642808466
"117","2013-03-24 03:00:00",17031062100,17031070600,540,2.1,8.05,17031062100,17031070600,2013,3,"Sonntag",24,3,NA,17031062100,41.942691844,-87.651770507,17031070600,41.928763006,-87.665676837
"118","2013-03-02 03:15:00",17031280100,17031241600,360,0.1,7.65,17031280100,17031241600,2013,3,"Samstag",2,3.25,NA,17031280100,41.885300022,-87.642808466,17031241600,41.906650766,-87.66533766
"119","2013-03-10 03:30:00",17031081202,17031081403,270,1,6.05,17031081202,17031081403,2013,3,"Sonntag",10,3.5,NA,17031081202,41.902788048,-87.62614559,17031081403,41.890922026,-87.618868355
"120","2013-03-10 03:45:00",17031062100,17031030500,600,0.1,12.85,17031062100,17031030500,2013,3,"Sonntag",10,3.75,NA,17031062100,41.942691844,-87.651770507,17031030500,41.987225558,-87.664937724
"121","2013-03-29 04:00:00",17031081700,17031320100,300,0.5,5.65,17031081700,17031320100,2013,3,"Freitag",29,4,NA,17031081700,41.892042136,-87.63186395,17031320100,41.884987192,-87.620992913
"122","2013-03-15 04:15:00",17031842200,17031081700,480,2.2,7.85,17031842200,17031081700,2013,3,"Freitag",15,4.25,NA,17031842200,41.904935302,-87.649907226,17031081700,41.892042136,-87.63186395
"123","2013-03-17 04:30:00",17031081100,17031081500,300,1.2,5.85,17031081100,17031081500,2013,3,"Sonntag",17,4.5,NA,17031081100,41.900221297,-87.629105186,17031081500,41.892507781,-87.626214906
"124","2013-03-10 04:45:00",17031081700,17031071400,500,0.733333333333333,8.45,17031081700,17031071400,2013,3,"Sonntag",10,4.75,NA,17031081700,41.892042136,-87.63186395,17031071400,41.922082541,-87.634156093
"125","2013-03-17 05:00:00",17031062100,17031081201,480,0.2,10.45,17031062100,17031081201,2013,3,"Sonntag",17,5,NA,17031062100,41.942691844,-87.651770507,17031081201,41.899155613,-87.626210532
"126","2013-03-02 05:15:00",17031081700,17031063400,540,3.8,10.85,17031081700,17031063400,2013,3,"Samstag",2,5.25,NA,17031081700,41.892042136,-87.63186395,17031063400,41.934659157,-87.646729729
"127","2013-03-10 05:30:00",17031081500,17031841000,840,3.7,12.05,17031081500,17031841000,2013,3,"Sonntag",10,5.5,NA,17031081500,41.892507781,-87.626214906,17031841000,41.849246754,-87.624135298
"128","2013-03-11 05:45:00",17031081800,17031980100,1140,13,27.45,17031081800,17031980100,2013,3,"Montag",11,5.75,NA,17031081800,41.89321636,-87.63784421,17031980100,41.785998518,-87.750934289
"129","2013-03-18 06:00:00",17031063200,17031980000,1440,0.9,31.65,17031063200,17031980000,2013,3,"Montag",18,6,NA,17031063200,41.938391258,-87.63857492,17031980000,41.97907082,-87.903039661
